category	tournament	match
International	UEFA Nations League	Armenia--v--Estonia
International	UEFA Nations League	Georgia--v--North Macedonia
International	UEFA Nations League	Belgium--v--Iceland
International	UEFA Nations League	Cyprus--v--Azerbaijan
International	UEFA Nations League	Denmark--v--England
International	UEFA Nations League	France--v--Croatia
International	UEFA Nations League	Luxembourg--v--Montenegro
International	UEFA Nations League	San Marino--v--Liechtenstein
International	UEFA Nations League	Sweden--v--Portugal
International Clubs	UEFA Super Cup	Bayern Munich--v--Sevilla
International Clubs	UEFA Champions League, Qualification	Qarabag--v--Molde
International Clubs	UEFA Champions League, Qualification	Dynamo Kiev--v--AZ Alkmaar
International Clubs	UEFA Champions League, Qualification	PAOK--v--Benfica
International Clubs	UEFA Champions League, Qualification	Gent--v--Rapid Vienna
International Clubs	UEFA Champions League, Qualification	AC Omonia Nicosia--v--Crvena Zvezda
International Clubs	UEFA Champions League, Qualification	Ferencvarosi--v--Dinamo Zagreb
International Clubs	UEFA Champions League, Qualification	Maccabi Tel Aviv--v--Dinamo Brest
International Clubs	UEFA Champions League, Qualification	Midtjylland--v--BSC Young Boys
International Clubs	UEFA Europa League, Qualification	Maccabi Haifa--v--Zeljeznicar
International Clubs	UEFA Europa League, Qualification	Botosani--v--Shkendija
International Clubs	UEFA Europa League, Qualification	Dac 1904 Dunajska Streda--v--Jablonec
International Clubs	UEFA Europa League, Qualification	FK Riteriai--v--Liberec
International Clubs	UEFA Europa League, Qualification	Hammarby--v--KKS Lech Poznan
International Clubs	UEFA Europa League, Qualification	Lokomotivi Tbilisi--v--Dinamo Moscow
International Clubs	UEFA Europa League, Qualification	GKS Piast Gliwice--v--Hartberg
International Clubs	UEFA Europa League, Qualification	Tsc Backa Topola--v--Steaua Bucharest
International Clubs	Club Friendly Games	FSV Zwickau--v--Wurzburger Kickers
International Clubs	Club Friendly Games	Weston Super Mare--v--Yeovil Town
International Clubs	Club Friendly Games	Belper Town--v--Chesterfield
International Clubs	Club Friendly Games	Hemsworth MW--v--Worksop Town
International Clubs	Club Friendly Games	Mickleover Sports--v--Guiseley
International Clubs	Club Friendly Games	Bamber Bridge--v--Southport
International Clubs	Club Friendly Games	Billericay Town--v--Boreham Wood
International Clubs	Club Friendly Games	Buxton--v--Chorley
International Clubs	Club Friendly Games	Enfield Town--v--Chesham Utd
International Clubs	Club Friendly Games	Glossop North End--v--Chester
International Clubs	Club Friendly Games	Gosport Borough--v--Havant & Waterlooville
International Clubs	Club Friendly Games	Hyde Utd--v--Curzon Ashton
International Clubs	Club Friendly Games	Rushall Olympic--v--Stafford Rangers
International Clubs	Club Friendly Games	Rushden and Diamonds--v--Barton Rovers
International Clubs	Club Friendly Games	Stourbridge--v--Kettering Town
International Clubs	Club Friendly Games	Sutton Utd--v--Eastbourne Borough
International Clubs	Club Friendly Games	United of Manchester--v--Trafford FC
International Clubs	Club Friendly Games	Larne--v--Derry City
International Clubs	Club Friendly Games	Piacenza--v--Sampdoria
International Youth	U21 EURO, Qualification	Finland U21--v--Ukraine U21
International Youth	U21 EURO, Qualification	Malta U21--v--Romania U21
International Youth	U21 EURO, Qualification	Moldova U21--v--Bosnia & Herzegovina U21
International Youth	U21 EURO, Qualification	Northern Ireland U21--v--Denmark U21
International Youth	U21 EURO, Qualification	Poland U21--v--Russia U21
International Youth	U21 EURO, Qualification	Portugal U21--v--Belarus U21
International Youth	U21 EURO, Qualification	Sweden U21--v--Italy U21
International Youth	U21 EURO, Qualification	Israel U21--v--Kazakhstan U21
International Youth	U21 EURO, Qualification	Albania U21--v--Andorra U21
International Youth	U21 EURO, Qualification	Netherlands U21--v--Norway U21
International Youth	U21 EURO, Qualification	Serbia U21--v--Bulgaria U21
