category	tournament	match
UEFA Super Cup	UEFA SUPER CUP UEFA SUPER CUP	Bayern M.--v--Sevilla
Champions L.	CL - QUALIFICATION CHAMPIONS L.	Qarabag--v--Molde
Champions L.	CL - QUALIFICATION CHAMPIONS L.	Dynamo Kiev--v--AZ Alkmaar
Champions L.	CL - QUALIFICATION CHAMPIONS L.	PAOK--v--Benfica
Champions L.	CL - QUALIFICATION CHAMPIONS L.	Gent--v--Rapid Vienna
Europa L.	EL - QUALIFICATION EUROPA L.	Maccabi Haifa--v--FK Zeljeznicar
England	ENG - PREMIER LEAGUE ENGLAND	Fulham--v--Arsenal
England	ENG - PREMIER LEAGUE ENGLAND	Crystal Palace--v--Southampton
England	ENG - PREMIER LEAGUE ENGLAND	Liverpool--v--Leeds
England	ENG - PREMIER LEAGUE ENGLAND	West Ham--v--Newcastle
England	ENG - CHAMPIONSHIP ENGLAND	Watford--v--Middlesbrough
England	ENG - LEAGUE ONE ENGLAND	Accrington--v--Peterborough
England	ENG - LEAGUE ONE ENGLAND	Crewe Alexandra--v--Charlton
England	ENG - LEAGUE ONE ENGLAND	Doncaster--v--MK Dons
England	ENG - LEAGUE ONE ENGLAND	Fleetwood Town--v--Burton
England	ENG - LEAGUE ONE ENGLAND	Gillingham--v--Hull City
England	ENG - LEAGUE ONE ENGLAND	Lincoln--v--Oxford Utd
England	ENG - LEAGUE ONE ENGLAND	Northampton--v--AFC Wimbledon
England	ENG - LEAGUE ONE ENGLAND	Plymouth--v--Blackpool
England	ENG - LEAGUE ONE ENGLAND	Portsmouth--v--Shrewsbury
England	ENG - LEAGUE ONE ENGLAND	Sunderland--v--Bristol Rovers
England	ENG - LEAGUE ONE ENGLAND	Swindon--v--Rochdale
England	ENG - LEAGUE TWO ENGLAND	Barrow--v--Stevenage
England	ENG - LEAGUE TWO ENGLAND	Bolton Wanderers--v--Forest Green
England	ENG - LEAGUE TWO ENGLAND	Bradford--v--Colchester
England	ENG - LEAGUE TWO ENGLAND	Cambridge Utd--v--Carlisle
England	ENG - LEAGUE TWO ENGLAND	Cheltenham--v--Morecambe
England	ENG - LEAGUE TWO ENGLAND	Mansfield--v--Tranmere
England	ENG - LEAGUE TWO ENGLAND	Oldham--v--Leyton Orient
England	ENG - LEAGUE TWO ENGLAND	Port Vale--v--Crawley
England	ENG - LEAGUE TWO ENGLAND	Salford City--v--Exeter
England	ENG - LEAGUE TWO ENGLAND	Scunthorpe--v--Newport
England	ENG - LEAGUE TWO ENGLAND	Southend--v--Harrogate Town
England	ENG - LEAGUE TWO ENGLAND	Walsall--v--Grimsby
England	ENG - FOOTBALL LEAGUE TROPHY ENGLAND	Salford City--v--Manchester United U21
England	ENG - THE FA WOMEN'S SUPER LEAGUE ENGLAND	Everton (W)--v--Tottenham (W)
Spain	SPA - LALIGA SPAIN	Granada--v--Athletic Bilbao
Spain	SPA - LALIGA2 SPAIN	Leganes--v--Las Palmas
Italy	ITA - SERIE A ITALY	Fiorentina--v--Torino
Italy	ITA - SERIE A ITALY	Verona--v--Roma
Germany	GER - BUNDESLIGA GERMANY	Bayern M.--v--Schalke
Germany	GER - BUNDESLIGA 2 GERMANY	Hamburger--v--Fortuna Dusseldorf
Germany	GER - BUNDESLIGA 2 GERMANY	Jahn Regensburg--v--Nurnberg
Germany	GER - BUNDESLIGA 3 GERMANY	Kaiserslautern--v--Dynamo Dresden
Germany	GER - SUPER CUP GERMANY	B. Dortmund--v--Bayern M.
Germany	GER - DFB POKAL GERMANY	Eintracht Braunschweig--v--Hertha
Germany	GER - DFB POKAL GERMANY	TSV Havelse--v--Mainz
Germany	GER - OBERLIGA RHEINLAND - PFALZ/SAAR GERMANY	TuS Mechtersheim--v--Spvgg Elversberg II
Germany	GER - OBERLIGA RHEINLAND - PFALZ/SAAR GERMANY	FC SPEYER 09--v--Wormatia Worms
Germany	GER - OBERLIGA RHEINLAND - PFALZ/SAAR, NORTH GERMANY	SF Eisbachtal--v--TuS Koblenz
Germany	GER - OBERLIGA RHEINLAND - PFALZ/SAAR, NORTH GERMANY	Hassia Bingen--v--SG 2000 Mulheim-Karlich
France	FRA - LIGUE 1 FRANCE	Lens--v--PSG
France	FRA - LIGUE 2 FRANCE	Guingamp--v--Le Havre
France	FRA - LIGUE 2 FRANCE	AJ Auxerre--v--Clermont
France	FRA - LIGUE 2 FRANCE	Ajaccio--v--Dunkerque
France	FRA - LIGUE 2 FRANCE	Amiens--v--Paris FC
France	FRA - LIGUE 2 FRANCE	Chambly--v--Grenoble Foot
France	FRA - LIGUE 2 FRANCE	Niort--v--AS Nancy
France	FRA - LIGUE 2 FRANCE	Rodez Aveyron--v--Caen
France	FRA - LIGUE 2 FRANCE	Troyes--v--Pau FC
France	FRA - LIGUE 2 FRANCE	Valenciennes--v--Chateauroux
France	FRA - NATIONAL FRANCE	Annecy FC--v--Concarneau
France	FRA - NATIONAL FRANCE	Avranches--v--FC Bastia Borgo
France	FRA - NATIONAL FRANCE	Boulogne--v--Le Mans
France	FRA - NATIONAL FRANCE	Cholet--v--Laval
France	FRA - NATIONAL FRANCE	Lyon Duchere--v--US Creteil
France	FRA - NATIONAL FRANCE	Red Star FC--v--Villefranche Sur Saone
France	FRA - NATIONAL FRANCE	SC Bastia--v--Bourg Peronnas
Netherlands	NED - EREDIVISIE NETHERLANDS	Heerenveen--v--Willem II
Netherlands	NED - EREDIVISIE NETHERLANDS	PEC Zwolle--v--Feyenoord
Netherlands	NED - EREDIVISIE NETHERLANDS	Twente--v--Fortuna Sittard
Netherlands	NED - EERSTE DIVISIE NETHERLANDS	Dordrecht--v--Excelsior
Netherlands	NED - EERSTE DIVISIE NETHERLANDS	Eindhoven--v--Helmond
Netherlands	NED - EERSTE DIVISIE NETHERLANDS	Volendam--v--Jong Utrecht
Netherlands	NED - EERSTE DIVISIE NETHERLANDS	Cambuur--v--Go Ahead Eagles
Netherlands	NED - EERSTE DIVISIE NETHERLANDS	Jong AZ Alkmaar--v--Jong Psv
Netherlands	NED - EERSTE DIVISIE NETHERLANDS	NEC Nijmegen--v--Jong Ajax
